Time;CPU Core #1;CPU Core #2;CPU Core #3;CPU Core #4;,;CPU Core #12;CPU Core #23;CPU Core #34;CPU Core #45;CPU Package;CPU Core #16;CPU Core #27;CPU Core #38;CPU Core #49;CPU Package10;CPU Cores;CPU Graphics;CPU DRAM;Bus Speed;Memory;Used Memory;Available Memory
09/30/2023 22:59:33;10.9375;29.6875;2.34375;3.90625;11,7;71;70;74;72;73;2016.00024;2822.40039;2419.2002;1512.00012;10.5559464;7.508373;0.6704576;0;100.800011;59.1944237;9.317795;6.42320633
09/30/2023 22:59:38;12.5;25;2.34375;7.81440735;11,9;72;73;73;77;77;2822.40186;2822.40186;1512.001;1915.20117;10.2308588;7.2533;0.653193951;0;100.800064;59.19658;9.318134;6.422867
09/30/2023 22:59:43;24.2559547;3.90625;2.3317337;3.858173;8,6;70;68;72;72;71;1612.80017;1512.00024;2116.80029;1713.60022;8.808318;5.8400836;0.5693794;0;100.800011;59.2057877;9.319584;6.421417
09/30/2023 22:59:48;23.2211533;2.30768919;0.7692337;9.2427845;8,9;73;71;73;73;74;2822.40283;1411.20142;1512.00146;1915.2019;8.931934;5.86962748;0.645014048;0;100.800095;59.2027321;9.319103;6.421898
09/30/2023 22:59:53;27.09173;9.652222;3.96825075;5.555558;11,6;71;71;73;73;73;2016.00085;2822.40137;2217.601;1612.80066;9.750785;6.741141;0.641811848;0;100.800041;59.2983627;9.334156;6.406845
09/30/2023 22:59:58;3.125;24.57875;9.536612;5.505955;10,7;70;68;72;70;72;1713.60156;1915.20178;1713.60156;2721.60254;8.607652;5.64825964;0.579201341;0;100.800095;59.3355141;9.340004;6.400997
09/30/2023 23:00:03;28.90625;1.5625;3.13739777;3.125;9,2;71;70;73;72;74;1411.19971;1713.59973;1713.59973;2015.99963;10.2420874;7.10491228;0.660916448;0;100.79998;59.64743;9.389103;6.351898
09/30/2023 23:00:08;18.75;4.76190472;0;10.0120182;8,4;70;68;72;71;72;1411.20044;1512.00049;2016.00073;2016.00073;10.0914526;7.17427635;0.6726034;0;100.800034;59.4703522;9.361229;6.379772
09/30/2023 23:00:13;10.1322117;21.05769;4.6875;1.53846145;9,4;71;71;73;75;75;1512.00037;1713.60034;1512.00037;1310.40027;9.605815;6.443253;0.626158953;0;100.800026;59.4526863;9.358448;6.382553
09/30/2023 23:00:18;3.16220522;11.1111107;19.342041;1.60009861;8,8;70;70;73;73;73;2016.00085;2721.601;2016.00085;2318.401;9.075145;6.27316;0.6337055;0;100.800041;59.4552078;9.358845;6.38215637
09/30/2023 23:00:23;3.90625;24.6153831;0.7692337;9.375;9,7;72;71;74;76;76;1411.20056;1411.20056;1512.00061;1612.80066;9.396056;6.21926;0.635298848;0;100.800041;59.46233;9.359966;6.381035
09/30/2023 23:00:28;33.59375;4.615384;2.34375;6.300366;11,7;73;69;73;73;73;1512;2016;2116.8;2016;10.6844368;7.72508144;0.7297025;0;100.799995;59.4037781;9.35075;6.390251
09/30/2023 23:00:33;27.8365364;39.84375;16.2740345;20.3125;26,1;73;79;76;76;76;2016.002;1713.60156;1915.20178;1915.20178;13.5719357;10.4528;0.7593489;0;100.800095;59.40533;9.350994;6.390007
09/30/2023 23:00:38;0.793647766;32.03125;0.793647766;0;8,4;71;69;74;72;73;2016.00061;2016.00061;2419.20068;2318.40063;10.0931816;7.14368248;0.6649191;0;100.800026;59.403614;9.350723;6.390278
